®	marque déposée
‼	double point d’exclamation
⁄	barre oblique de fraction
⁉	points d’exclamation et d’interrogation
⁻	exposant moins
℗	copyright phonographique
™	marque commerciale déposée
ℹ	source d’informations
←	flèche vers la gauche
↑	flèche vers le haut
→	flèche vers la droite
↓	flèche vers le bas
↔	flèche gauche droite
↕	flèche haut bas
↖	flèche haut gauche
↗	flèche haut droite
↘	flèche bas droite
↙	flèche bas gauche
↚	flèche vers la gauche barrée
↛	flèche vers la droite barrée
↜	flèche vers la gauche ondulée
↝	flèche vers la droite ondulée
↞	flèche à deux pointes vers la gauche
↟	flèche à deux pointes vers le haut
↠	flèche à deux pointes vers la droite
↡	flèche à deux pointes vers le bas
↢	flèche vers la gauche avec empenne
↣	flèche vers la droite avec empenne
↤	flèche d’un taquet vers la gauche
↥	flèche d’un taquet vers le haut
↦	flèche d’un taquet vers la droite
↧	flèche d’un taquet vers le bas
↨	flèche haut-bas sur base
↩	flèche courbe gauche
↪	flèche courbe droite
↫	flèche vers la gauche avec boucle
↬	flèche vers la droite avec boucle
↭	flèche gauche-droite ondulée
↮	flèche gauche-droite barrée
↯	flèche vers le bas en zigzag
↰	flèche vers le haut avec pointe vers la gauche
↱	flèche vers le haut avec pointe vers la droite
↲	flèche vers le bas avec pointe vers la gauche
↳	flèche vers le bas avec pointe vers la droite
↴	flèche vers la droite avec coin vers le bas
↵	flèche vers le bas avec coin vers la gauche
↶	flèche semi-circulaire sens antihoraire en chef
↷	flèche semi-circulaire sens horaire en chef
↸	flèche nord-ouest jusqu’à un long taquet
↹	flèches gauche et droite superposées avec taquets
↺	flèche circulaire ouverte sens antihoraire
↻	flèche circulaire ouverte sens horaire
↼	harpon vers la gauche avec barbillon vers le haut
↽	harpon vers la gauche avec barbillon vers le bas
↾	harpon vers le haut avec barbillon vers la droite
↿	harpon vers le haut avec barbillon vers la gauche
⇀	harpon vers la droite avec barbillon vers le haut
⇁	harpon vers la droite avec barbillon vers le bas
⇂	harpon vers le bas avec barbillon vers la droite
⇃	harpon vers le bas avec barbillon vers la gauche
⇄	flèche vers la droite sur flèche vers la gauche
⇅	flèches vers le haut et vers le bas
⇆	flèche gauche au-dessus de flèche droite
⇇	paire de flèches vers la gauche
⇈	paire de flèches vers le haut
⇉	paire de flèches vers la droite
⇊	paire de flèches vers le bas
⇋	harpon vers la gauche sur harpon vers la droite
⇌	harpon vers la droite sur harpon vers la gauche
⇍	double flèche vers la gauche barrée
⇎	double flèche gauche-droite barrée
⇏	double flèche vers la droite barrée
⇐	flèche double vers la gauche
⇑	flèche double vers le haut
⇒	flèche double vers la droite
⇓	flèche double vers le bas
⇔	flèche double vers la gauche et la droite
⇖	flèche double vers le nord-ouest
⇗	flèche double vers le nord-est
⇘	flèche double vers le sud-est
⇙	flèche double vers le sud-ouest
⇚	flèche triple vers la gauche
⇛	flèche triple vers la droite
⇜	flèche vers la gauche en tire-bouchon
⇝	flèche vers la droite en tire-bouchon
⇞	flèche vers le haut avec double barre
⇟	flèche vers le bas avec double barre
⇠	flèche pointillée vers la gauche
⇡	flèche pointillée vers le haut
⇢	flèche pointillée vers la droite
⇣	flèche pointillée vers le bas
⇤	flèche vers la gauche jusqu’à un taquet
⇥	flèche vers la droite jusqu’à un taquet
⇦	flèche creuse vers la gauche
⇧	flèche creuse vers le haut
⇨	flèche creuse vers la droite
⇩	flèche creuse vers le bas
⇪	flèche creuse d’un taquet vers le haut
⇵	flèche vers le bas à gauche d’une flèche vers le haut
∀	pour tout
∂	dérivée partielle
∃	il existe
∅	ensemble vide
∆	incrément
∇	nabla
∈	appartient à
∉	n’appartient pas
∋	contient comme élément
∎	fin d’article
∏	produit de la famille
∑	sommation de la famille
−	signe moins
∓	plus ou moins
∕	barre oblique de division
∗	opérateur astérisque
∘	opérateur rond
∙	opérateur puce
√	racine carrée
∝	proportionnel
∞	symbole de l’infini
∟	angle droit
∠	angle
∣	est un diviseur de
∥	parallèle
∧	et logique
∩	intersection
∪	union
∫	intégrale
∬	double intégrale
∮	intégrale de contour
∴	par conséquent
∵	parce que
∶	rapport
∷	proportion
∼	opérateur tilde
∽	tilde renversé
∾	s couché renversé
≃	asymptotiquement égal à
≅	approximativement égal à
≈	presque égal
≌	entièrement égal à
≒	approximativement égal à ou image de
≖	rond dans égal
≠	non égal
≡	identique à
≣	strictement équivalent à
≤	inférieur ou égal
≥	supérieur ou égal
≦	inférieur à sur égal à
≧	supérieur à sur égal à
≪	très inférieur à
≫	très supérieur à
≬	entre
≮	pas inférieur à
≯	pas supérieur à
≳	supérieur ou équivalent à
≺	précède
≻	suit
⊁	ne suit pas
⊂	sous-ensemble de
⊃	sur-ensemble de
⊆	sous-ensemble égal à
⊇	sur-ensemble égal à
⊕	plus cerclé
⊖	moins cerclé
⊗	fois cerclé
⊘	barre oblique de division cerclée
⊙	opérateur point cerclé
⊚	opérateur rond cerclé
⊛	opérateur astérisque cerclé
⊞	plus encadré
