centesimo	centesimi
euro	euro
dollaro	dollari
penny	penny
dollaro canadese	dollari canadesi
franco svizzero	franchi svizzeri
dollaro statunitense	dollari statunitensi
rublo	rubli
dollaro di hong hong	dollari di hong kong
copeca	copeche
colón costaricano	colones costaricani
cruzeiro	cruzeiros
franco francese	franchi francesi
nuovo siclo israeliano	nuovi sicli israeliani
dong vietnamita	dong vietnamiti
kip laotiano	kip laotiani
tugrik mongolo	tugrik mongoli
peso	pesos
guaraní paraguayano	guaraní paraguaiani
austral	australes
cedi ghanese	cedi ghanesi
tenge kazako	tenge kazaki
manat azero	manat azeri
lari georgiano	lari georgiani
bitcoin	bitcoin
