©	copyright
®	marchio registrato cerchiato
‼	doppio punto esclamativo
⁄	barra di frazione
⁉	punto esclamativo e interrogativo
⁻	segno meno in apice
₡	colón costaricano
₢	cruzeiro
₣	franco francese
₦	naira
₧	peseta spagnola
₨	rupia
₪	nuovo siclo israeliano
₫	dong vietnamita
€	euro
₭	kip laotiano
₮	tugrik mongolo
₰	pfennig tedesco
₱	peso
₲	guaraní paraguayano
₳	austral
₴	grivnia ucraina
₵	cedi ghanese
₶	livre tournois
₷	spesmilo
₸	tenge kazako
₹	rupia indiana
₺	lira turca
₼	manat azero
₽	rublo
₾	lari georgiano
₿	bitcoin
℗	simbolo di copyright della registrazione sonora
™	marchio
ℹ	punto informazioni
←	freccia verso sinistra
↑	freccia verso l’alto
→	freccia verso destra
↓	freccia verso il basso
↔	freccia sinistra-destra
↕	freccia su-giù
↖	freccia in alto a sinistra
↗	freccia rivolta verso destra che punta in alto
↘	freccia in basso a destra
↙	freccia in basso a sinistra
↚	freccia verso sinistra barrata
↛	freccia verso destra barrata
↜	freccia ondulata verso sinistra
↝	freccia ondulata verso destra
↞	freccia a due punte verso sinistra
↟	freccia a due punte verso l’alto
↠	freccia a due punte verso destra
↡	freccia a due punte verso il basso
↢	freccia verso sinistra con coda
↣	freccia verso destra con coda
↤	freccia verso sinistra dalla barra
↥	freccia verso l’alto dalla barra
↦	freccia verso destra dalla barra
↧	freccia verso il basso dalla barra
↨	freccia bidirezionale con base
↩	freccia curva a sinistra
↪	freccia curva a destra
↫	freccia verso sinistra con anello
↬	freccia verso destra con anello
↭	freccia sinistra e destra ondulata
↮	freccia sinistra e destra barrata
↯	freccia a zigzag verso il basso
↰	freccia verso l’alto con punta a sinistra
↱	freccia verso l’alto con punta a destra
↲	freccia verso il basso con punta a sinistra
↳	freccia verso il basso con punta a destra
↴	freccia verso destra con angolo rivolto in basso
↵	freccia verso il basso con angolo rivolto a sinistra
↶	freccia semicircolare superiore in senso antiorario
↷	freccia semicircolare superiore in senso orario
↸	freccia nord-ovest verso barra lunga
↹	freccia a sinistra verso barra su freccia a destra verso barra
↺	freccia circolare aperta in senso antiorario
↻	freccia circolare aperta in senso orario
↼	arpione a sinistra con punta verso l’alto
↽	arpione a sinistra con punta verso il basso
↾	arpione in alto con punta verso destra
↿	arpione in alto con punta verso sinistra
⇀	arpione a destra con punta verso l’alto
⇁	arpione a destra con punta verso il basso
⇂	arpione in basso con punta verso destra
⇃	arpione in basso con punta verso sinistra
⇄	freccia a destra su freccia a sinistra
⇅	freccia verso l’alto e freccia verso il basso
⇆	freccia verso sinistra su freccia verso destra
⇇	coppia di frecce rivolte a sinistra
⇈	coppia di frecce rivolte verso l’alto
⇉	coppia di frecce rivolte a destra
⇊	coppia di frecce rivolte verso il basso
⇋	arpione a sinistra su arpione a destra
⇌	arpione a destra su arpione a sinistra
⇍	freccia doppia a sinistra barrata
⇎	freccia doppia sinistra e destra barrata
⇏	freccia doppia a destra barrata
⇐	freccia doppia a sinistra
⇑	freccia doppia verso l’alto
⇒	freccia doppia a destra
⇓	freccia doppia verso il basso
⇔	freccia doppia sinistra e destra
⇖	freccia doppia nord-ovest
⇗	freccia doppia nord-est
⇘	freccia doppia sud-est
⇙	freccia doppia sud-ovest
⇚	freccia tripla a sinistra
⇛	freccia tripla a destra
⇜	freccia ondulare a sinistra
⇝	freccia ondulare a destra
⇞	freccia doppia verso l’alto con doppia barra
⇟	freccia doppia verso il basso con doppia barra
⇠	freccia tratteggiata a sinistra
⇡	freccia tratteggiata verso l’alto
⇢	freccia tratteggiata a destra
⇣	freccia tratteggiata verso il basso
⇤	freccia a sinistra verso barra
⇥	freccia a destra verso barra
⇦	freccia vuota a sinistra
⇧	freccia vuota verso l’alto
⇨	freccia vuota a destra
⇩	freccia vuota verso il basso
⇪	freccia vuota verso l’alto dalla barra
⇵	freccia verso il basso con freccia verso l’alto a destra
∀	per ogni
∂	derivata parziale
∃	esiste
∅	insieme vuoto
∆	simbolo di incremento
∇	nabla
∈	simbolo di appartenenza
∉	non appartiene
∋	contiene
∎	fine della dimostrazione
∏	prodotto n-ario
∑	sommatoria n-aria
−	segno meno
∓	meno o più
∕	barra di divisione
∗	operatore asterisco
∘	operatore anello
∙	operatore punto elenco
√	radice quadrata
∝	proporzionale
∞	simbolo di infinito
∟	angolo retto
∠	angolo
∣	divide
∥	parallelo
∧	e logico
∩	simbolo di intersezione
∪	simbolo di unione
∫	integrale
∬	integrale doppio
∮	integrale curvilineo
∴	quindi
∵	perché
∶	rapporto
∷	proporzione
∼	operatore tilde
∽	tilde rovesciata
≃	asintoticamente uguale
