dólar americano	dólares americanos
real	reais
euro	euros
libra esterlina	libras esterlinas
dólar	dólares
colón costarriquenho	colones costarriquenhos
cruzeiro	cruzeiros
franco francês	francos franceses
novo shekel israelense	novos shekels israelenses
dong vietnamita	dongs vietnamitas
kip laosiano	kips laosianos
tugrik mongol	tugriks mongóis
peso	pesos
guarani paraguaio	guaranis paraguaios
austral	austrais
cedi ganês	cedis ganeses
livre tournois	livres tournois
tenge cazaque	tenges cazaques
manat azeri	manats azeris
rublo	rublos
lari georgiano	laris georgianos
bitcoin	bitcoins
