©	bản quyền
®	đã đăng ký
‼	hai dấu chấm than
⁄	dấu gạch chéo phân số
⁉	dấu chấm than và dấu chấm hỏi
⁻	dấu trừ trên
₡	colón Costa Rica
₢	cruzeiro
₣	franc pháp
₤	lira
₥	một phần nghìn
₦	naira Nigeria
₧	peseta Tây Ban Nha
₨	rupee
₪	shekel mới của Israel
₫	đồng
€	ơ rô
₭	kip Lào
₮	tugrik Mông Cổ
₰	xu Đức
₱	peso
₲	guarani Paraguay
₳	austral
₴	hryvnia Ukraina
₵	cedi Ghana
₶	đồng livre
₷	đồng spesmilo
₸	tenge Kazakhstan
₹	rupee
₺	lira Thổ Nhĩ Kỳ
₼	manat Azerbaijan
₽	rúp
₾	lari Georgia
₿	bitcoin
℗	bản quyền ghi âm
™	nhãn hiệu
ℹ	thông tin
←	mũi tên hướng trái
↑	mũi tên hướng lên
→	mũi tên hướng phải
↓	mũi tên hướng xuống
↔	mũi tên trái phải
↕	mũi tên lên xuống
↖	mũi tên lên bên trái
↗	mũi tên lên bên phải
↘	mũi tên xuống bên phải
↙	mũi tên xuống bên trái
↚	mũi tên trái có dấu gạch chéo
↛	mũi tên phải có dấu gạch chéo
↜	mũi tên sóng trái
↝	mũi tên sóng phải
↞	mũi tên trái hai đầu
↟	mũi tên hướng lên hai đầu
↠	mũi tên phải hai đầu
↡	mũi tên hướng xuống hai đầu
↢	mũi tên trái có đuôi
↣	mũi tên phải có đuôi
↤	mũi tên trái từ thanh
↥	mũi tên hướng lên từ thanh
↦	mũi tên phải từ thanh
↧	mũi tên hướng xuống từ thanh
↨	mũi tên lên xuống có nét ngang
↩	mũi tên phải cong sang trái
↪	mũi tên trái cong sang phải
↫	mũi tên trái có vòng tròn nhỏ
↬	mũi tên phải có vòng tròn nhỏ
↭	mũi tên sóng trái phải
↮	mũi tên trái phải có dấu gạch chéo
↯	mũi tên xuống hình dích dắc
↰	mũi tên hướng lên có đầu sang trái
↱	mũi tên hướng lên có đầu sang phải
↲	mũi tên hướng xuống có đầu sang trái
↳	mũi tên hướng xuống có đầu sang phải
↴	mũi tên phải có góc hướng xuống
↵	mũi tên hướng xuống có góc sang trái
↶	mũi tên hình bán nguyệt đầu ngược chiều kim đồng hồ
↷	mũi tên hình bán nguyệt đầu theo chiều kim đồng hồ
↸	mũi tên tây bắc đến thanh dài
