©	版权
®	注册
‼	双叹号
⁄	分数斜线
⁉	叹号加问号
⁻	上标减号
₢	克鲁赛罗
₤	里拉
₥	密尔
₧	西班牙比塞塔
₰	德国便士
₲	巴拉圭瓜拉尼
₳	奥斯特拉尔
₵	加纳塞地
₶	里弗尔
₷	斯佩斯米洛
₸	哈萨克斯坦坚戈
₼	阿塞拜疆马纳特
₾	格鲁吉亚拉里
₿	比特币
℗	录音版权
™	商标
ℹ	信息中心
←	向左的箭头
↑	向上的箭头
→	向右的箭头
↓	向下的箭头
↔	左右箭头
↕	上下箭头
↖	左上箭头
↗	右上箭头
↘	右下箭头
↙	左下箭头
↚	带删除线的向左箭头
↛	带删除线的向右箭头
↜	向左波浪箭头
↝	向右波浪箭头
↞	向左双头箭头
↟	向上双头箭头
↠	向右双头箭头
↡	向下双头箭头
↢	带尾的向左箭头
↣	带尾的向右箭头
↤	尾部带杠的向左箭头
↥	尾部带杠的向上箭头
↦	尾部带杠的向右箭头
↧	尾部带杠的向下箭头
↨	带底边的上下箭头
↩	右转弯箭头
↪	左转弯箭头
↫	尾部带环的向左箭头
↬	尾部带环的向右箭头
↭	左右波浪箭头
↮	带删除线的左右箭头
↯	向下锯齿形箭头
↰	头朝左的向上箭头
↱	头朝右的向上箭头
↲	头朝左的向下箭头
↳	头朝右的向下箭头
↴	下拐的向右箭头
↵	左拐的向下箭头
↶	逆时针上半圆箭头
↷	顺时针上半圆箭头
↸	指向长杠的西北箭头
↹	上面是头带杠的向左箭头 下面是头带杠的向右箭头
↺	逆时针开口圆箭头
↻	顺时针开口圆箭头
↼	倒钩在上的向左鱼叉
↽	倒钩在下的向左鱼叉
↾	倒钩在右的向上鱼叉
↿	倒钩在左的向上鱼叉
⇀	倒钩在上的向右鱼叉
⇁	倒钩在下的向右鱼叉
⇂	倒钩在右的向下鱼叉
⇃	倒钩在左的向下鱼叉
⇄	上面是向右箭头 下面是向左箭头
⇅	左上右下两个箭头
⇆	上左下右两个箭头
⇇	两个向左箭头
⇈	两个向上箭头
⇉	两个向右箭头
⇊	两个向下箭头
⇋	上面是向左鱼叉 下面是向右鱼叉
⇌	上面是向右鱼叉 下面是向左鱼叉
⇍	带删除线的向左双箭头
⇎	带删除线的左右双箭头
⇏	带删除线的向右双箭头
⇐	向左双箭头
⇑	向上双箭头
⇒	向右双箭头
⇓	向下双箭头
⇔	左右双箭头
⇖	西北双箭头
⇗	东北双箭头
⇘	东南双箭头
⇙	西南双箭头
⇚	向左三箭头
⇛	向右三箭头
⇜	向左曲线箭头
⇝	向右曲线箭头
⇞	带双删除线的向上箭头
⇟	带双删除线的向下箭头
⇠	向左虚线箭头
⇡	向上虚线箭头
⇢	向右虚线箭头
⇣	向下虚线箭头
⇤	头带杠的向左箭头
⇥	头带杠的向右箭头
⇦	向左空心箭头
⇧	向上空心箭头
⇨	向右空心箭头
⇩	向下空心箭头
⇪	尾部带杠的向上空心箭头
⇵	左边是向下箭头 右边是向上箭头
∀	全称量词
∂	偏微分
∃	存在量词
∅	空集
∆	增量
∇	向量微分
∈	是...的元素
∉	不属于
∋	包含为成员
∎	证明完毕
∏	N元乘积
∑	N元求和
−	减号
∓	减或加
∕	除号斜线
∗	星号运算符
∘	环运算符
∙	项目符号运算符
√	平方根
∝	成比例
∞	无穷大符号
∟	直角
∠	角
∣	整除
∥	平行
∧	逻辑与
∩	交集
∪	并集
∫	积分
∬	二重积分
∮	曲线积分
∴	所以
∵	因为
∶	比率
∷	比例
∼	波浪号运算符
∽	反转波浪号
∾	倒置躺倒s
≃	渐近相等
≅	近似相等
≈	约等于
≌	全等
≒	约等于或近似于
≖	环等于
≠	不等于
≡	等同于
≣	严格等价于
≤	小于等于
≥	大于等于
≦	小于或等于
≧	大于或等于
≪	远小于
≫	远大于
≬	介于
≮	不小于
≯	不大于
≳	大于或等价于
≺	先于
≻	后于
⊁	不后于
⊂	是...的子集
⊃	超集
⊆	子集或等于
⊇	超集或等于
⊕	带圆圈加号
⊖	带圆圈减号
⊗	带圆圈乘号
⊘	带圆圈除号斜线
⊙	带圆圈点运算符
⊚	带圆圈环运算符
⊛	带圆圈星号运算符
⊞	带方框加号
⊟	带方框减号
⊥	上丁字
⊮	不强制
⊰	关系上先于
⊱	关系上后于
⊶	原
⊹	厄米共轭矩阵
⊿	直角三角形
⋁	N元逻辑或
⋂	N元交集
⋃	N元并集
⋅	点运算符
⋆	星运算符
⋈	自然连接
⋒	双交集
⋘	极小于
⋙	极大于
⋭	不属于正规子群或等于
⋮	垂直省略号
⋯	中线水平省略号
⋰	右上对角线省略号
⋱	右下对角线省略号
⌚	手表
⌛	沙漏
⌨	键盘
⏏	退出
⏩	快进
⏪	快退
⏫	快速向上
⏬	快速向下
⏭	下一首
⏮	上一首
⏯	播放暂停
⏰	闹钟
⏱	秒表
⏲	定时器
⏳	沙正往下流的沙漏
⏸	暂停
⏹	终止
⏺	录音
Ⓜ	m
■	实心方形
□	空心方形
▢	带圆角的空心方形
▣	包含实心方形的空心方形
▤	带水平填充符的方形
▥	带垂直填充符的方形
▦	带直角交叉填充符的方形
▧	带左上到右下填充符的方形
▨	带右上到左下填充符的方形
▩	带对角线交叉填充符的方形
▪	黑色小方块
▫	白色小方块
▬	实心矩形
▭	空心矩形
▮	实心垂直矩形
▰	实心平行四边形
▲	实心向上三角
△	空心向上三角
▴	实心向上小型三角
▵	空心向上小型三角
▶	播放
▷	空心向右三角
▸	实心向右小型三角
▹	空心向右小型三角
►	实心向右指针
▻	空心向右指针
▼	实心向下三角
▽	空心向下三角
▾	实心向下小型三角
▿	空心向下小型三角
◀	后退
◁	空心向左三角
◂	实心向左小型三角
◃	空心向左小型三角
◄	实心向左指针
◅	空心向左指针
◆	实心菱形
◇	空心菱形
◈	包含实心菱形的空心菱形
◉	包含实心圆圈的空心圆圈
◊	菱形
○	空心圆
◌	虚线圆圈
◍	带垂直填充符的圆圈
◎	同心圆
●	实心圆
◐	左半实心的圆圈
◑	右半实心的圆圈
◒	下半实心的圆圈
◓	上半实心的圆圈
◔	右上象限实心的圆圈
◕	除左上象限外均实心的圆圈
◖	左半实心圆圈
◗	右半实心圆圈
◘	反白项目符号
◙	包含空心圆圈的实心方形
◜	左上象限圆弧
◝	右上象限圆弧
◞	右下象限圆弧
◟	左下象限圆弧
◠	上半圆圈
◡	下半圆圈
◢	实心右下三角
◣	实心左下三角
◤	实心左上三角
◥	实心右上三角
◦	空心项目符号
◯	大空心圆
◳	右上象限空心方形
◷	右上象限空心圆圈
◻	白色中方块
◼	黑色中方块
◽	白色中小方块
◾	黑色中小方块
◿	右下三角
☀	太阳
☁	云
☂	伞
☃	雪与雪人
☄	彗星
☎	电话
☑	勾选框
☔	雨伞
☕	热饮
☘	三叶草
☝	食指向上指
☠	骷髅
☢	辐射
☣	生物危害
☦	东正教十字架
☪	星月
☮	和平
☯	太极
☸	法轮
☹	不满
☺	微笑
♀	女
♂	男
♈	白羊座
♉	金牛座
♊	双子座
♋	巨蟹座
♌	狮子座
♍	处女座
♎	天秤座
♏	天蝎座
♐	射手座
♑	摩羯座
♒	水瓶座
♓	双鱼座
♟	兵
♠	黑桃
♣	梅花
♥	红桃
♦	方片
♨	温泉
♪	八分音符
♭	降音符
♯	升号
♻	回收
♾	无限
♿	轮椅
⚒	锤子与镐
⚓	锚
⚔	双剑
⚕	医疗标志
⚖	天平
⚗	蒸馏器
⚙	齿轮
⚛	原子
⚜	百合花饰
⚠	警告
⚡	高压
⚧	跨性别符号
⚪	白色圆
⚫	黑色圆
⚰	棺材
⚱	骨灰缸
⚽	足球
⚾	棒球
⛄	雪人
⛅	阴
⛈	雷阵雨
⛎	蛇夫座
⛏	锄头
⛑	白十字头盔
⛓	链条
⛔	禁止通行
⛩	神社
⛪	教堂
⛰	山
⛱	阳伞
⛲	喷泉
⛳	高尔夫
⛴	渡轮
⛵	帆船
⛷	滑雪的人
⛸	滑冰
⛹	玩球
⛺	帐篷
⛽	油泵
✂	剪刀
✅	空心对勾
✈	飞机
✉	信封
✊	举起拳头
✋	举起手
✌	胜利手势
✍	写字
✏	铅笔
✒	钢笔尖
✔	对勾
✖	乘号
✝	十字架
✡	六芒星
✨	闪亮
✳	八芒星
✴	八角星
❄	雪花
❇	火花
❌	叉
❎	叉符号按钮
❓	问号
❔	空心问号
❕	空心叹号
❗	叹号
❣	心叹号
❤	红心
➕	加号
➖	减号
➗	除号
➡	向右箭头
➰	日本单环标志
➿	日本免费电话标志
⤴	右上弯箭头
⤵	右下弯箭头
⨧	带下标二的加号
⨯	向量叉乘
⨼	内积
⩣	带双底线的逻辑或
⩽	小于或倾斜等于
⪍	小于或相似
⪚	双线等于或大于
⪺	后于或不约等于
⬅	向左箭头
⬆	向上箭头
⬇	向下箭头
⬛	白色大方块
⬜	黑色大方块
⭐	星星
⭕	大圆圈
〽	庵点
㊗	祝
㊙	秘
﷼	里亚尔
🅰	A 型血
🅱	B 型血
🅾	O 型血
🅿	停车
🆎	AB 型血
🆑	字母cl
🆒	酷
🆓	免费
🆔	身份
🆕	新
🆖	ng
🆗	ok按钮
🆘	SOS
🆙	up
🆚	VS
🇨🇶	萨克岛
🈁	日文的这里”按钮
🈂	日文的服务费”按钮
